FireYear,YEAR,dALB,SITE
70,2000,-0.003188,NS2
71,2001,0.002805,NS2
72,2002,-0.001473,NS2
73,2003,0.003509,NS2
74,2004,-0.0005385,NS2
75,2005,-0.00076,NS2
76,2006,0.002063,NS2
77,2007,0.004888,NS2
78,2008,-0.0042725,NS2
79,2009,0.000644,NS2
80,2010,-0.000874,NS2
81,2011,0.001726,NS2
82,2012,-0.000971,NS2
83,2013,0.000196,NS2
84,2014,-0.000513,NS2
85,2015,-0.000192,NS2
86,2016,-0.000563,NS2
87,2017,0.0027165,NS2
88,2018,-0.002059,NS2
89,2019,0.0020775,NS2
90,2020,0.0021795,NS2
91,2021,-0.008276,NS2
92,2022,0.0028495,NS2
36,2000,0.0104915,NS3
37,2001,0.011775,NS3
38,2002,0.009119,NS3
39,2003,0.006645,NS3
40,2004,0.007868,NS3
41,2005,0.005991,NS3
42,2006,0.007468,NS3
43,2007,0.003533,NS3
44,2008,0.006049,NS3
45,2009,0.005509,NS3
46,2010,0.005508,NS3
47,2011,0.0066175,NS3
48,2012,0.003431,NS3
49,2013,0.009581,NS3
50,2014,0.0087945,NS3
51,2015,0.004931,NS3
52,2016,0.003476,NS3
53,2017,0.00513,NS3
54,2018,0.009345,NS3
55,2019,0.008475,NS3
56,2020,0.008334,NS3
57,2021,0.002936,NS3
58,2022,0.003307,NS3
36,2000,0.009192,NS4
37,2001,0.0121905,NS4
38,2002,0.014604,NS4
39,2003,0.0121685,NS4
40,2004,0.0099495,NS4
41,2005,0.009364,NS4
42,2006,0.0120985,NS4
43,2007,0.012638,NS4
44,2008,0.011227,NS4
45,2009,0.0108925,NS4
46,2010,0.011208,NS4
47,2011,0.0093435,NS4
48,2012,0.010209,NS4
49,2013,0.009791,NS4
50,2014,0.008783,NS4
51,2015,0.0097415,NS4
52,2016,0.006012,NS4
53,2017,0.0084555,NS4
54,2018,0.008859,NS4
55,2019,0.00809,NS4
56,2020,0.010726,NS4
57,2021,0.006135,NS4
58,2022,0.0066925,NS4
19,2000,-0.023673,NS5
20,2001,-0.01486,NS5
21,2002,-0.0125395,NS5
22,2003,-0.015229,NS5
