FireYear,YEAR,dALB,SITE
70,2000,-0.036585,NS2
71,2001,-0.022036,NS2
72,2002,-0.030675,NS2
73,2003,-0.030102,NS2
74,2004,-0.008434,NS2
75,2005,-0.020006,NS2
76,2006,-0.0064135,NS2
77,2007,-0.025287,NS2
78,2008,-0.0131895,NS2
79,2009,-0.018564,NS2
80,2010,-0.010337,NS2
81,2011,-0.025192,NS2
82,2012,-0.012826,NS2
83,2013,-0.023662,NS2
84,2014,-0.0229745,NS2
85,2015,-0.016167,NS2
86,2016,-0.0075505,NS2
87,2017,-0.013179,NS2
88,2018,-0.010933,NS2
89,2019,-0.01109,NS2
90,2020,-0.0158485,NS2
91,2021,-0.008119,NS2
92,2022,-0.0297145,NS2
36,2000,0.028147,NS3
37,2001,0.06511,NS3
38,2002,0.043813,NS3
39,2003,0.045368,NS3
40,2004,0.041317,NS3
41,2005,0.0598505,NS3
42,2006,0.039726,NS3
43,2007,0.0575405,NS3
44,2008,0.051402,NS3
45,2009,0.052498,NS3
46,2010,0.009861,NS3
47,2011,0.049697,NS3
48,2012,0.050926,NS3
49,2013,0.055429,NS3
50,2014,0.054097,NS3
51,2015,0.044153,NS3
52,2016,0.050428,NS3
53,2017,0.0557255,NS3
54,2018,0.0509745,NS3
55,2019,0.037884,NS3
56,2020,0.044526,NS3
57,2021,0.042858,NS3
58,2022,0.0503255,NS3
36,2000,0.070135,NS4
37,2001,0.10122,NS4
38,2002,0.0942435,NS4
39,2003,0.0637235,NS4
40,2004,0.07198,NS4
41,2005,0.099246,NS4
42,2006,0.076815,NS4
43,2007,0.074302,NS4
44,2008,0.09308,NS4
45,2009,0.0915,NS4
46,2010,0.065356,NS4
47,2011,0.07064,NS4
48,2012,0.069575,NS4
49,2013,0.0858655,NS4
50,2014,0.094108,NS4
51,2015,0.0503435,NS4
52,2016,0.0722505,NS4
53,2017,0.092433,NS4
54,2018,0.075685,NS4
55,2019,0.061877,NS4
56,2020,0.0741205,NS4
57,2021,0.056171,NS4
58,2022,0.068405,NS4
19,2000,-0.0108455,NS5
20,2001,-0.094783,NS5
21,2002,-0.060044,NS5
22,2003,-0.072681,NS5
23,2004,-0.040751,NS5
24,2005,-0.043968,NS5
25,2006,-0.06556,NS5
26,2007,-0.074222,NS5
27,2008,-0.093529,NS5
28,2009,-0.067309,NS5
29,2010,-0.02039,NS5
30,2011,-0.081231,NS5
31,2012,-0.0951945,NS5
32,2013,-0.060278,NS5
33,2014,-0.07857,NS5
34,2015,-0.116756,NS5
35,2016,-0.080938,NS5
36,2017,-0.065008,NS5
37,2018,-0.081672,NS5
38,2019,-0.083491,NS5
39,2020,-0.0794845,NS5
40,2021,-0.0822145,NS5
41,2022,-0.0936625,NS5
11,2000,0.1665835,NS6
12,2001,0.244638,NS6
13,2002,0.2207425,NS6
14,2003,0.18457,NS6
15,2004,0.231672,NS6
16,2005,0.267322,NS6
17,2006,0.18087,NS6
18,2007,0.209264,NS6
19,2008,0.210879,NS6
20,2009,0.192671,NS6
21,2010,0.1337375,NS6
22,2011,0.156608,NS6
23,2012,0.148436,NS6
24,2013,0.17209,NS6
25,2014,0.180711,NS6
26,2015,0.131942,NS6
27,2016,0.128852,NS6
28,2017,0.175186,NS6
29,2018,0.147892,NS6
30,2019,0.10351,NS6
31,2020,0.125747,NS6
32,2021,0.0906225,NS6
33,2022,0.110489,NS6
2,2000,0.155578,NS7
3,2001,0.270003,NS7
4,2002,0.2524375,NS7
5,2003,0.2562385,NS7
6,2004,0.293118,NS7
7,2005,0.3309455,NS7
8,2006,0.2667915,NS7
9,2007,0.28044,NS7
10,2008,0.257494,NS7
11,2009,0.232085,NS7
12,2010,0.193573,NS7
13,2011,0.216233,NS7
