FireYear,Year,LAI,SITE
70,2000,2.1,CA-NS2
71,2001,2.1,CA-NS2
72,2002,1.3,CA-NS2
73,2003,1.9,CA-NS2
74,2004,2,CA-NS2
75,2005,1.4,CA-NS2
76,2006,1.75,CA-NS2
77,2007,1.4,CA-NS2
78,2008,2,CA-NS2
79,2009,1.3,CA-NS2
80,2010,1.4,CA-NS2
81,2011,2,CA-NS2
82,2012,1.8,CA-NS2
83,2013,2.3,CA-NS2
84,2014,1.25,CA-NS2
85,2015,2,CA-NS2
86,2016,1.9,CA-NS2
87,2017,2.3,CA-NS2
88,2018,1.65,CA-NS2
89,2019,1.15,CA-NS2
90,2020,1.3,CA-NS2
91,2021,1.95,CA-NS2
92,2022,1.7,CA-NS2
36,2000,1.45,CA-NS3
37,2001,1.45,CA-NS3
38,2002,1.45,CA-NS3
39,2003,1.55,CA-NS3
40,2004,1.45,CA-NS3
41,2005,1.3,CA-NS3
42,2006,1.35,CA-NS3
43,2007,1.25,CA-NS3
44,2008,1.45,CA-NS3
45,2009,0.9,CA-NS3
46,2010,1.05,CA-NS3
47,2011,1.3,CA-NS3
48,2012,1.45,CA-NS3
49,2013,1.3,CA-NS3
50,2014,1.2,CA-NS3
51,2015,1.2,CA-NS3
52,2016,1.35,CA-NS3
53,2017,1.5,CA-NS3
54,2018,1.35,CA-NS3
55,2019,0.9,CA-NS3
56,2020,1.05,CA-NS3
57,2021,1.3,CA-NS3
58,2022,1.2,CA-NS3
36,2000,1.7,CA-NS4
37,2001,1.35,CA-NS4
38,2002,1.35,CA-NS4
39,2003,1.45,CA-NS4
40,2004,1.35,CA-NS4
41,2005,1.3,CA-NS4
42,2006,1.3,CA-NS4
43,2007,1.15,CA-NS4
44,2008,1.4,CA-NS4
45,2009,1.35,CA-NS4
46,2010,1.05,CA-NS4
47,2011,1.4,CA-NS4
48,2012,1.45,CA-NS4
49,2013,1.4,CA-NS4
50,2014,1.2,CA-NS4
51,2015,1.25,CA-NS4
52,2016,1.35,CA-NS4
53,2017,1.55,CA-NS4
54,2018,1.3,CA-NS4
55,2019,1.1,CA-NS4
56,2020,1.35,CA-NS4
57,2021,1.2,CA-NS4
58,2022,1.15,CA-NS4
19,2000,2.7,CA-NS5
20,2001,2.4,CA-NS5
21,2002,2.4,CA-NS5
22,2003,2.55,CA-NS5
23,2004,2.35,CA-NS5
24,2005,2,CA-NS5
25,2006,2.75,CA-NS5
26,2007,0.95,CA-NS5
27,2008,1.8,CA-NS5
28,2009,1.4,CA-NS5
29,2010,1.55,CA-NS5
30,2011,1.75,CA-NS5
31,2012,1.95,CA-NS5
32,2013,1.55,CA-NS5
33,2014,1.45,CA-NS5
34,2015,1.5,CA-NS5
35,2016,1.65,CA-NS5
36,2017,1.95,CA-NS5
37,2018,1.55,CA-NS5
38,2019,1.35,CA-NS5
39,2020,1.45,CA-NS5
40,2021,1.4,CA-NS5
41,2022,1.8,CA-NS5
11,2000,2,CA-NS6
12,2001,1.7,CA-NS6
13,2002,1.6,CA-NS6
14,2003,1.7,CA-NS6
15,2004,1.5,CA-NS6
16,2005,1.7,CA-NS6
17,2006,1.8,CA-NS6
18,2007,1.95,CA-NS6
19,2008,2.25,CA-NS6
20,2009,2,CA-NS6
21,2010,1.5,CA-NS6
22,2011,2,CA-NS6
23,2012,2.35,CA-NS6
24,2013,2.1,CA-NS6
25,2014,2.15,CA-NS6
26,2015,2.35,CA-NS6
27,2016,2.25,CA-NS6
28,2017,2.4,CA-NS6
29,2018,2.15,CA-NS6
30,2019,2,CA-NS6
31,2020,1.75,CA-NS6
32,2021,2.5,CA-NS6
33,2022,2.25,CA-NS6
2,2000,0.4,CA-NS7
3,2001,0.7,CA-NS7
4,2002,0.6,CA-NS7
5,2003,0.8,CA-NS7
6,2004,0.9,CA-NS7
7,2005,0.75,CA-NS7
8,2006,1.1,CA-NS7
9,2007,0.9,CA-NS7
10,2008,1.1,CA-NS7
11,2009,0.85,CA-NS7
12,2010,1.05,CA-NS7
13,2011,1.3,CA-NS7
14,2012,1.55,CA-NS7
15,2013,1.9,CA-NS7
16,2014,1.45,CA-NS7
17,2015,1.1,CA-NS7
18,2016,1.6,CA-NS7
19,2017,1.65,CA-NS7
20,2018,1.5,CA-NS7
21,2019,1.15,CA-NS7
22,2020,1.2,CA-NS7
23,2021,1.9,CA-NS7
24,2022,1.45,CA-NS7
23,2000,2.65,CA-SF1
24,2001,2.8,CA-SF1
25,2002,3,CA-SF1
26,2003,2.45,CA-SF1
27,2004,2.3,CA-SF1
28,2005,2.3,CA-SF1
29,2006,2.5,CA-SF1
30,2007,1.8,CA-SF1
31,2008,1.9,CA-SF1
32,2009,2.4,CA-SF1
