SITE,YEAR,dTEMP
NS2,70,0.42
NS2,71,0.42
NS2,72,0.52
NS2,73,0.02
NS2,74,0.42
NS2,75,-0.22
NS2,76,0.76
NS2,77,-0.46
NS2,78,0.52
NS2,79,0.01
NS2,80,0.6
NS2,81,0.31
NS2,82,0.37
NS2,83,0.9
NS2,84,0.06
NS2,85,0.6
NS2,86,0.4
NS2,87,0.19
NS2,88,0.43
NS2,89,0.02
NS2,90,0.24
NS2,91,0.24
NS2,92,0.48
NS3,36,1.06
NS3,37,0.26
NS3,38,-0.2
NS3,39,1.1
NS3,40,0.78
NS3,41,0.5
NS3,42,0.74
NS3,43,0.69
NS3,44,0.6
NS3,45,0.68
NS3,46,1.6
NS3,47,0.58
NS3,48,0.44
NS3,49,0.58
NS3,50,0.69
NS3,51,1.21
NS3,52,0.88
NS3,53,0.48
NS3,54,0.9
NS3,55,0.65
NS3,56,0.52
NS3,57,0.69
NS3,58,0.67
NS4,36,0.92
NS4,37,0.65
NS4,38,0.02
NS4,39,0.98
NS4,40,0.36
NS4,41,0.25
NS4,42,0.08
NS4,43,0.35
NS4,44,0.2
NS4,45,0.14
NS4,46,0.9
NS4,47,0.57
NS4,48,0.48
NS4,49,0.68
NS4,50,0.68
NS4,51,1.21
NS4,52,0.48
NS4,53,0.5
NS4,54,1.28
NS4,55,0.55
NS4,56,0.9
NS4,57,0.75
NS4,58,0.71
NS5,19,-0.36
NS5,20,0.6
NS5,21,-0.6
NS5,22,-0.9
NS5,23,-1.68
NS5,24,-0.44
NS5,25,-0.76
NS5,26,-0.82
NS5,27,-0.32
NS5,28,-0.43
NS5,29,-2.09
NS5,30,-0.25
NS5,31,-0.41
NS5,32,-0.66
NS5,33,-1.1
NS5,34,-0.99
NS5,35,-0.18
NS5,36,-0.77
NS5,37,-0.84
NS5,38,-0.09
NS5,39,-0.51
NS5,40,-0.94
NS5,41,-1.08
NS6,11,2.24
NS6,12,0.82
NS6,13,0.95
NS6,14,2.18
NS6,15,1.68
NS6,16,1.05
NS6,17,0.94
NS6,18,1.65
NS6,19,0.1
NS6,20,1.48
NS6,21,0.68
NS6,22,0.86
NS6,23,0.36
NS6,24,1.3
NS6,25,0.54
NS6,26,0.78
NS6,27,1.4
NS6,28,0.36
NS6,29,0.56
NS6,30,0.26
NS6,31,1.32
NS6,32,-0.56
NS6,33,0.44
NS7,2,2.92
NS7,3,2.2
NS7,4,3
NS7,5,4.28
NS7,6,2
NS7,7,2.45
NS7,8,2.94
NS7,9,2.39
NS7,10,1.8
NS7,11,2.44
NS7,12,1.87
NS7,13,1.38
NS7,14,1.73
NS7,15,0.78
NS7,16,1.24
NS7,17,2.04
NS7,18,1.48
NS7,19,2.22
NS7,20,2.24
NS7,21,1.02
NS7,22,2.4
NS7,23,1.31
NS7,24,1.75
SF1,23,1.34
SF1,24,1.03
SF1,25,-0.01
SF1,26,0.52
SF1,27,1.44
SF1,28,0.72
SF1,29,0.66
SF1,30,0.82
SF1,31,0.66
SF1,32,1
SF1,33,0.84
SF1,34,0.59
SF1,35,0.8
SF1,36,0.77
SF1,37,1.18
SF1,38,NaN
SF1,39,NaN
SF1,40,NaN
SF1,41,NaN
SF1,42,NaN
SF1,43,NaN
SF1,44,NaN
SF1,45,NaN
SF2,11,1.36
SF2,12,0.9
SF2,13,0.94
SF2,14,0.4
SF2,15,-0.28
SF2,16,0.42
SF2,17,-0.54
SF2,18,0.82
SF2,19,0.08
SF2,20,-0.23
SF2,21,-0.45
SF2,22,-0.2
SF2,23,0.04
SF2,24,0.59
SF2,25,0.4
SF2,26,0.48
SF2,27,0.14
SF2,28,-0.32
SF2,29,0.32
SF2,30,0.36
SF2,31,0.78
SF2,32,-0.17
SF2,33,-0.33
SF3,2,2.99
SF3,3,3.2
SF3,4,2.92
SF3,5,1.96
SF3,6,1.79
SF3,7,1.88
SF3,8,2
SF3,9,1.36
SF3,10,1.08
SF3,11,1.49
SF3,12,0.97
SF3,13,1.32
SF3,14,1.03
SF3,15,1.08
SF3,16,1.26
SF3,17,0.62
SF3,18,0.42
SF3,19,1.16
SF3,20,0.64
SF3,21,0.45
SF3,22,0.5
SF3,23,0.44
SF3,24,0.44
BN2,13,2.64
BN2,14,2.08
BN2,15,2.56
BN2,16,2.39
BN2,17,3
BN2,18,2.8
BN2,19,2.16
BN2,20,2.74
BN2,21,3.8
BN2,22,2.65
BN2,23,1.02
BN2,24,1.63
BN2,25,1.36
BN2,26,1.94
BN2,27,2.54
BN2,28,1.15
BN2,29,1.13
BN2,30,0.99
BN2,31,-0.1
BN2,32,1.54
BN2,33,2.06
BN2,34,0.72
BN2,35,1.62
BN3,1,10.12
BN3,2,24.69
BN3,3,4.68
BN3,4,4.42
BN3,5,6
BN3,6,3.94
BN3,7,3.78
BN3,8,4.01
BN3,9,2.68
BN3,10,3.44
BN3,11,3.49
BN3,12,4.08
BN3,13,5.24
BN3,14,4.49
BN3,15,2.03
BN3,16,3.48
BN3,17,3.91
BN3,18,2.54
BN3,19,2.63
BN3,20,2.91
BN3,21,2.74
BN3,22,3.7
BN3,23,2.78
FCR,-10,0.8
FCR,-9,0.11
FCR,-8,0.36
FCR,-7,0.23
FCR,-6,0.21
FCR,-5,-0.34
FCR,-4,-1.32
FCR,-3,-0.04
FCR,-2,0.33
FCR,-1,-0.14
FCR,0,6.35
FCR,1,6.06
FCR,2,4.24
FCR,3,4.14
FCR,4,4.67
FCR,5,3.6
FCR,6,3.1
FCR,7,2.88
FCR,8,3.55
FCR,9,2.83
FCR,10,3.34
FCR,11,3.96
FCR,12,3.28
RPF,-4,-0.58
RPF,-3,0.33
RPF,-2,-0.17
RPF,-1,-0.32
RPF,0,5.94
RPF,1,5.54
RPF,2,3.91
RPF,3,3.34
RPF,4,2.86
RPF,5,2.76
RPF,6,2.03
RPF,7,1.57
RPF,8,1.98
RPF,9,1.83
RPF,10,1.22
RPF,11,0.74
RPF,12,1.47
RPF,13,0.76
RPF,14,0.43
RPF,15,0.44
RPF,16,1.26
RPF,17,1.14
RPF,18,0.12
